interview__key,METODO,Coord1__Latitude,Coord1__Longitude, EDAD , GENERO ,INT DE VOTO X ESPACIO,RADIO
341153768647,IVR,-32.9422583,-60.7028016,36 a 45, Masculino ,LIBERTARIOS,820848304
341153775433,IVR,-32.89015380,-60.69231040,16 a 25, Masculino ,LIBERTARIOS,820843813
341153790060,IVR,-23.44250300,-58.44383200,56 y mas, Masculino ,JxC,820842411
341153800055,IVR,-32.90917620,-60.76001950,36 a 45, Otro ,OTROS,820842611
341153806704,IVR,-33.00637490,-60.68874400,36 a 45, Masculino ,JxC,820842401
341153811893,IVR,-32.83600070,-60.70609430,56 y mas, Femenino ,NINGUNO/NOSABE,820842505
341153817245,IVR,-32.88910000,-60.69389610,36 a 45, Masculino ,NINGUNO/NOSABE,820840620
341153817909,IVR,-32.82005470,-60.72409660,56 y mas, Masculino ,NINGUNO/NOSABE,820844901
341153823423,IVR,-32.94488770,-60.64157450,36 a 45, Femenino ,NINGUNO/NOSABE,820846113
341153833162,IVR,-33.0035188,-60.7825377,46 a 55, Femenino ,FdT,820844306
341153858699,IVR,-32.83805930,-60.69878490,16 a 25, Otro ,NINGUNO/NOSABE,820840519
341153860309,IVR,-32.95870220,-60.69304160,36 a 45, Masculino ,PNK,820842715
341153862956,IVR,-32.98221090,-60.63236010,46 a 55, Femenino ,NINGUNO/NOSABE,820844604
341153863028,IVR,-32.94398420,-60.64180910,36 a 45, Femenino ,JxC,820841818
341153868340,IVR,-32.88716130,-60.72634070,26 a 35, Femenino ,OTROS,820841209
341153879727,IVR,-32.94697190,-60.63193240,56 y mas, Femenino ,PNK,820840311
341153897680,IVR,-32.95821440,-60.67161640,36 a 45, Femenino ,PNK,820841711
341153898255,IVR,-32.94319160,-60.65675530,26 a 35, Masculino ,FIT,820841810
341153916826,IVR,-32.95643910,-60.72608350,56 y mas, Femenino ,FdT,820842708
341153941635,IVR,-33.00104900,-60.63628600,36 a 45, Femenino ,PNK,820844519
341153945993,IVR,-32.96970400,-60.65928630,56 y mas, Femenino ,NINGUNO/NOSABE,820843010
341153951222,IVR,-32.94697190,-60.63193240,56 y mas, Masculino ,JxC,820843609
341153962022,IVR,-32.93373510,-60.66889090,26 a 35, Masculino ,FdT,820843510
341153977580,IVR,-32.93398710,-60.64649580,26 a 35, Otro ,FIT,820843506
341153988533,IVR,-32.98199580,-60.66301050,46 a 55, Femenino ,OTROS,820841706
341153993122,IVR,-32.96196280,-60.62591340,36 a 45, Femenino ,FdT,820845323
341155000262,IVR,-32.9462608,-60.6567122,36 a 45, Femenino ,FIT,820841801
341155000887,IVR,-32.98018690,-60.70500200,36 a 45, Masculino ,LIBERTARIOS,820845414
